id,name,cost
264,"Чехол-книжка для Apple iPad 9.7"" Air/Air2 черный", 499
265,"Чехол-книжка для Apple iPad Air (4th) 10.9"" 2020 голубой",3 999
266,"Чехол-книжка для Apple iPad Air (4th) 10.9"" 2020 зеленый",3 999
267,"Чехол-книжка для Apple iPad Air (4th) 10.9"" 2020 зеленый",7 999
268,"Чехол-книжка для Apple iPad Air (4th) 10.9"" 2020 зеленый",1 999
269,"Чехол-книжка для Apple iPad Air (4th) 10.9"" 2020 розовый",3 999
270,"Чехол-книжка для Apple iPad Air (4th) 10.9"" 2020 розовый",7 999
271,"Чехол-книжка для Apple iPad Air (4th) 10.9"" 2020 розовый",1 999
272,"Чехол-книжка для Apple iPad Air (4th) 10.9"" 2020 серый",1 999
273,"Чехол-книжка для Apple iPad Air (4th) 10.9"" 2020 синий",1 999
274,"Чехол-книжка для Apple iPad Air (4th) 10.9"" 2020 синий",3 999
275,"Чехол-книжка для Apple iPad Air (4th) 10.9"" 2020 сиреневый",3 999
276,"Чехол-книжка для Apple iPad Air (4th) 10.9"" 2020 черный",7 999
277,"Чехол-книжка для Apple iPad Air (4th) 10.9"" 2020 черный",3 999
278,"Чехол-книжка для Apple iPad Pro 10.5"" (2017), Apple iPad 10,2"" (2019) красный",4 999
279,"Чехол-книжка для Apple iPad Pro 11"" (2018) серый",5 999
280,"Чехол-книжка для Apple iPad Pro 11"" (2020) розовый",7 599
281,"Чехол-книжка для Dexp Ursus H110, Dexp Ursus N210 серый", 840
282,Чехол-книжка для Dexp Ursus K11 черный, 799
283,Чехол-книжка для Dexp Ursus K18 черный, 899
284,Чехол-книжка для Dexp Ursus K21 черный,1 499
285,Чехол-книжка для Dexp Ursus K21 черный, 999
286,"Чехол-книжка для Dexp Ursus N180i, Dexp Ursus N280i, Dexp Ursus N380i черный", 350
287,"Чехол-книжка для Dexp Ursus N180i, Dexp Ursus N280i, Dexp Ursus N380i черный", 699
288,"Чехол-книжка для Dexp Ursus N210, Dexp Ursus N310, Dexp Ursus N410 черный", 499
289,Чехол-книжка для Huawei MatePad Pro синий,2 399
290,Чехол-книжка для Huawei MatePad Pro черный,1 199
291,"Чехол-книжка для Huawei MatePad T10, Huawei MatePad T10s, Huawei HONOR Pad X6, Huawei HONOR Pad 6 черный",1 199
292,"Чехол-книжка для Huawei MatePad T10, Huawei MatePad T10s синий",1 799
293,Чехол-книжка для Huawei MatePad T8 (2020) синий,1 499
294,Чехол-книжка для Huawei MatePad T8 (2020) синий, 999
295,Чехол-книжка для Huawei MatePad T8 (2020) черный, 999
296,Чехол-книжка для Huawei MatePad T8 синий,1 299
297,Чехол-книжка для Huawei Matepad серый,2 499
298,Чехол-книжка для Huawei Matepad синий,1 699
299,Чехол-книжка для Huawei Matepad черный,1 099
300,Чехол-книжка для Huawei Matepad черный,1 199
301,"Чехол-книжка для Huawei MediaPad M5 8"" черный", 210
302,"Чехол-книжка для Huawei MediaPad M5, Huawei MediaPad M5 Pro черный", 499
303,"Чехол-книжка для Huawei MediaPad M5 Lite 10"" черный", 899
304,"Чехол-книжка для Huawei MediaPad M5 Lite 8"" черный", 999
305,Чехол-книжка для Huawei MediaPad M5 синий, 899
306,Чехол-книжка для Huawei MediaPad M5 черный, 899
307,Чехол-книжка для Huawei MediaPad M6 серый,1 499
308,"Чехол-книжка для Huawei Media Pad T1, Huawei Media Pad T2 черный", 499
309,"Чехол-книжка для Huawei MediaPad T3 7"" черный", 299
310,"Чехол-книжка для Huawei MediaPad T3 8"" коричневый", 610
